dataset,dp_variant,rho,epsilon_EO,accuracy,EO_gap,F1
adult,pre_server,0.05,0.05,0.7527,0.0688,0.5950
adult,none,0.05,0.05,0.7391,0.0635,0.5882
adult,pre_server,0.1,0.1,0.7325,0.0758,0.5841
adult,pre_server,0.1,0.25,0.7325,0.0758,0.5841
adult,none,0.1,0.05,0.7312,0.0210,0.5846
adult,none,0.1,0.1,0.7312,0.0477,0.5855
adult,none,0.1,0.25,0.7312,0.0477,0.5855
adult,none,0.05,0.1,0.7243,0.0045,0.5768
adult,none,0.05,0.25,0.7243,0.0045,0.5768
adult,pre_server,0.05,0.1,0.6993,0.0759,0.5626
adult,pre_server,0.05,0.25,0.6993,0.0759,0.5626
adult,pre_server,0.1,0.05,0.6693,0.1225,0.5348
credit,none,0.05,0.1,0.7700,0.0003,0.4733
credit,none,0.05,0.25,0.7700,0.0003,0.4733
credit,none,0.1,0.05,0.7700,0.0010,0.4729
credit,none,0.1,0.1,0.7700,0.0003,0.4733
credit,none,0.1,0.25,0.7700,0.0003,0.4733
credit,none,0.05,0.05,0.7698,0.0014,0.4735
credit,pre_server,0.1,0.05,0.7233,0.0161,0.4296
credit,pre_server,0.05,0.05,0.7117,0.0206,0.4272
credit,pre_server,0.05,0.1,0.7117,0.0206,0.4272
credit,pre_server,0.05,0.25,0.7117,0.0206,0.4272
credit,pre_server,0.1,0.1,0.7115,0.0206,0.4270
credit,pre_server,0.1,0.25,0.7115,0.0206,0.4270
