universum_off,rho,val_acc_mean,val_acc_std,val_EO_mean,val_EO_std,test_acc_mean,test_acc_std,test_EO_mean,test_EO_std,n_seeds,selected
False,0.01,0.6384,0.0363,0.1606,0.0800,0.6201,0.0282,0.1093,0.0581,5,False
False,0.05,0.6384,0.0363,0.1606,0.0800,0.6201,0.0282,0.1093,0.0581,5,False
False,0.1,0.6384,0.0363,0.1606,0.0800,0.6201,0.0282,0.1093,0.0581,5,False
False,0.5,0.6384,0.0363,0.1606,0.0800,0.6203,0.0280,0.1093,0.0581,5,False
False,1.0,0.6382,0.0364,0.1613,0.0789,0.6201,0.0278,0.1087,0.0576,5,False
True,0.01,0.6481,0.0210,0.1000,0.0662,0.6322,0.0153,0.1658,0.0604,5,True
True,0.05,0.6481,0.0210,0.1000,0.0662,0.6322,0.0153,0.1658,0.0604,5,False
True,0.1,0.6481,0.0210,0.1000,0.0662,0.6322,0.0153,0.1658,0.0604,5,False
True,0.5,0.6481,0.0210,0.1000,0.0662,0.6333,0.0150,0.1666,0.0643,5,False
True,1.0,0.6481,0.0210,0.1000,0.0662,0.6331,0.0149,0.1618,0.0599,5,False
