dataset,universum_off,rho,val_acc_mean,val_acc_std,val_EO_mean,val_EO_std,test_acc_mean,test_acc_std,test_EO_mean,test_EO_std,n_seeds,selected
credit,False,0.01,0.6013,0.0332,0.0785,0.0352,0.7371,0.0228,0.0672,0.0140,5,False
credit,False,0.05,0.6013,0.0332,0.0789,0.0345,0.7372,0.0229,0.0675,0.0128,5,False
credit,False,0.1,0.6013,0.0333,0.0789,0.0345,0.7371,0.0230,0.0672,0.0134,5,False
credit,False,0.5,0.6015,0.0332,0.0782,0.0358,0.7374,0.0233,0.0678,0.0131,5,False
credit,False,1.0,0.6012,0.0333,0.0782,0.0358,0.7372,0.0230,0.0666,0.0133,5,False
credit,True,0.01,0.6896,0.0239,0.0247,0.0235,0.7679,0.0174,0.0347,0.0210,5,True
credit,True,0.05,0.6649,0.0306,0.0421,0.0353,0.7615,0.0230,0.0352,0.0246,5,False
credit,True,0.1,0.6717,0.0237,0.0174,0.0194,0.7552,0.0213,0.0332,0.0169,5,False
credit,True,0.5,0.6570,0.0260,0.0357,0.0214,0.7557,0.0164,0.0133,0.0143,5,False
credit,True,1.0,0.6624,0.0205,0.0277,0.0155,0.7630,0.0177,0.0241,0.0159,5,False
adult,False,0.01,0.6896,0.0168,0.0932,0.0590,0.6860,0.0150,0.0939,0.0524,5,False
adult,False,0.05,0.6920,0.0223,0.1230,0.0316,0.6887,0.0223,0.1180,0.0491,5,False
adult,False,0.1,0.6985,0.0089,0.0640,0.0426,0.6962,0.0084,0.0687,0.0459,5,False
adult,False,0.5,0.6908,0.0172,0.0943,0.0390,0.6870,0.0140,0.0731,0.0542,5,False
adult,False,1.0,0.6981,0.0170,0.0740,0.0268,0.6974,0.0150,0.0756,0.0209,5,False
adult,True,0.01,0.7486,0.0165,0.0843,0.0612,0.7471,0.0129,0.0728,0.0545,5,True
adult,True,0.05,0.7466,0.0146,0.0689,0.0721,0.7443,0.0094,0.0764,0.0626,5,False
adult,True,0.1,0.7431,0.0131,0.0962,0.0651,0.7440,0.0082,0.1128,0.0355,5,False
adult,True,0.5,0.7425,0.0115,0.0622,0.0570,0.7429,0.0076,0.0768,0.0509,5,False
adult,True,1.0,0.7398,0.0179,0.0672,0.0694,0.7403,0.0123,0.0618,0.0676,5,False
law,False,0.01,0.8121,0.0200,0.1833,0.0622,0.6927,0.0279,0.2599,0.0794,5,False
law,False,0.05,0.8123,0.0203,0.1847,0.0620,0.6981,0.0212,0.2638,0.0769,5,False
law,False,0.1,0.8123,0.0200,0.1865,0.0611,0.6999,0.0191,0.2624,0.0769,5,False
law,False,0.5,0.8080,0.0261,0.1774,0.0622,0.6763,0.0387,0.2405,0.0748,5,False
law,False,1.0,0.8090,0.0155,0.1733,0.0562,0.6872,0.0312,0.2402,0.0660,5,True
law,True,0.01,0.8121,0.0200,0.1833,0.0622,0.6927,0.0279,0.2599,0.0794,5,False
law,True,0.05,0.8123,0.0203,0.1847,0.0620,0.6981,0.0212,0.2638,0.0769,5,False
law,True,0.1,0.8123,0.0200,0.1865,0.0611,0.6999,0.0191,0.2624,0.0769,5,False
law,True,0.5,0.8080,0.0261,0.1774,0.0622,0.6763,0.0387,0.2405,0.0748,5,False
law,True,1.0,0.8090,0.0155,0.1733,0.0562,0.6872,0.0312,0.2402,0.0660,5,False
