dataset,rho,accuracy_mean,accuracy_std,EO_gap_mean,EO_gap_std,n_seeds
credit,0.01,0.7371333333333334,0.022827468833257303,0.06715023061206443,0.014049574293989162,5
credit,0.05,0.7372333333333333,0.022944764592870023,0.06750673685092362,0.012805562683491398,5
credit,0.1,0.7371333333333333,0.023038952522485317,0.06715023061206443,0.013358911196716556,5
credit,0.5,0.7374,0.023287240187612523,0.06776783345666774,0.013108813302605542,5
credit,1.0,0.7372333333333334,0.023029112010670306,0.06662803740057618,0.013266326493975892,5
adult,0.01,0.6859529512929182,0.014992230731366308,0.09394473826677215,0.052360200975496374,5
adult,0.05,0.6887169092807566,0.022287482857120323,0.11799941698246788,0.049140889181020816,5
adult,0.1,0.6961857379767828,0.008421089388289657,0.06869466538958066,0.0459149426490313,5
adult,0.5,0.6869725446839875,0.014013027058862591,0.07314288093949113,0.05415535284259958,5
adult,1.0,0.6973773109759842,0.014950653251713953,0.0755794777828676,0.02087069069544437,5
law,0.01,0.6927403846153846,0.027892240336801873,0.25994717009014334,0.07938028539442923,5
law,0.05,0.6981249999999999,0.021197725469699752,0.2637622970719247,0.07691090496662638,5
law,0.1,0.6998557692307692,0.019075454541801384,0.26240632058941504,0.0769020938137058,5
law,0.5,0.6762980769230769,0.03866550484337298,0.24051106736473224,0.07477233884848418,5
law,1.0,0.6871634615384616,0.03119803371516076,0.2402393970740358,0.06603493078484186,5
